Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,17.53706015793341,45.29197680483047,1.77863647761381,0.003301048821176713,4.638594100204067e-19,-0.002561128683745553,11.59405121,2992813.113,103.248786141,1211.71269128,103.2487861405454,-7.620840726761895e-14,-5.684341886080801e-14,3.870261200217513,0.009230467933028423,25.31957398319456,12.03082733604666,18.97218543644962,-12.46286312015038,3.870248423846125,6.532106143345639e-15,-6.822766885088651,103.2487861405454,-7.620840726761895e-14,-5.684341886080801e-14,1053.481988362327,-593.1009636441938,81.57569085410451,33.89422196528837,53.44997865798837,81.57569085410452,103.2487861405454,-9.340278421329379e-14,-6.257487784269964e-14, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,3000.0000000037,2999.9841548577,6.00173009942104e-15,6.361109362927034e-15,360,1,5.237497552547189e-17,5.551115123125783e-17,-9.131830344647745e-17,-0.2119861560363427,0.7868929199442936,0.4327769073105998,0.3854420198799706,-0.2119861560363427,0.7868929199442936,0.4327769073105998,0.3854420198799706,-3.1544080231464e-14,-4.2290280235401e-14,37.62,37.80620615349,-122.38,-8866439.192225879,-13982058.24232117,12759291.17029223,-8866439.192225879,-13982058.24232117,12759291.17029223,0,2999.9841548577,3.258317855829e-09,6.28618531,19.6969697,19.6969697,0.895928582,1.19705442,41998275.7,68.5912185,1.19705442,1.19405442,0,1,0.523,0,-1.04749951e-16,-3.14249853e-15,0.348,0,-3.14249853e-15,-7.85624633e-15,-2.31066068e-15,0,0,0,-1,5.23749755e-15,0,360.026518,-360.026518,360,-0.0265181014,-0.000462740869,-9.62039229e-07,-9.62039229e-07,0,0,0,-100,-0.414937759,-0.0398340249,-0.0398340249,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,113918,207.124,1.29953,28.6383,448.091,-0,-0,373.588,2427.72,130,130,37.6200006623172527,-122.38000121913818,20902421.3545247912,0.00330104882117671344
0.24,3.988670468171499,5.840825068656028,0.5519536270362565,15.55541907711602,3.656540352473307,2.732906865389133,3.992008991251373,5.840802026249015,0.5494416485038801,11.84222439,3024690.999,104.34706298,1211.81901505,104.1880474913592,-0.04861670081469449,5.758293914393548,3.839006917915288,-0.3395716936544156,20.92562328605127,6.030980192939746,9.179456819355952,-2.657775873121064,4.901349307844885,0.002024657344346266,-21.83663362821586,104.1880474913592,-0.04861670081469449,5.758293914393548,1055.619906467017,-589.7502987849045,79.79049681627957,36.02278669501168,56.78155518288333,79.79049681627957,104.2617842214739,0.01343870016657762,4.21778648179382, 2095.721991, -10.7816446, 13.55489187, -10.7816446, 1505.010983, 3.980006172, 13.55489187, 3.980006172, 3150.426965,77.08061782,2479.995575,45.48951164934463,4.22742689821248,35.42697335182882,2999.4201871529,2999.4043450607,0.4482199722251248,0.8465451825711968,0.05885554395831453,0.9999649459606871,0.003907545679513167,0.007389384578967522,0.0004846979952404194,-0.2184380665189303,0.7833988118235108,0.4323201428183656,0.3894488500977898,-0.218441474397529,0.7833950287596798,0.4323269979628858,0.3894469386322778,3.1634206811095,-0.026694875656036,37.620068240655,37.806274514736,-122.37999999718,-8866186.070798662,-13982200.13694016,12759310.48593938,-8866430.772988092,-13982044.96700263,12759310.48593938,0.0010027377917377,2999.4043450607,3.2583178179204e-09,0.00402722303,19.6966344,19.6966344,0.895947744,1.19705391,41998266.6,68.5911888,1.19705391,1.19302668,0,1,0.523,0,-0.00782291429,-0.174,0.348,0,-0.238118241,-0.595295603,-0.562605129,0,0,0,-1,3.01245662,0,0.0588598793,-0.0588598793,0,-0.0588598793,-0.00102710489,-1.71123696e-05,-0.00784002666,0,0,0,-100,-9.89176155,-0.949632051,3.26815443,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,98970.9,179.947,1.29952,25.1843,375.196,-0.0869035,13.2219,403.964,2521.83,129.998,129.998,37.6200688934586225,-122.380001208513249,20902420.7000964023,3.99200899125137321
0.48,7.366238938652009,4.401299906421675,1.206045806525931,11.8673173976581,-12.97741042645258,2.527055498488646,7.369634521064879,4.401206832958746,1.203613182251118,12.11187654,3058968.523,105.526499284,1212.04985318,105.108250034045,-0.09090026592677103,9.385604037887305,3.924184005572974,0.02103953178469808,9.043312375308783,2.778730096312309,2.496730354950184,3.196375083282195,5.863712594393667,0.007550642664966326,-31.14561289258087,105.108250034045,-0.09090026592677103,9.385604037887305,1056.606365237721,-588.4336561704791,79.96041402696096,36.99997723152289,58.07904893106845,79.96041402696102,105.3885195596306,0.1438412737830048,5.392708591329471,  2095.70943,-10.78163473, 13.55494782,-10.78163473,  1505.01012, 3.980100388, 13.55494782, 3.980100388, 3150.414933,77.08048365,2479.991258,45.48950727935053,4.227434256872641,35.4269316221052,2998.2217374258,2998.205901634,1.800662078017188,2.169346718136621,0.2879314638291032,0.9996949670852971,0.01566267011111861,0.01896706865036387,0.002214465201646103,-0.2333078860100413,0.7769807751557607,0.432918892928212,0.393000683853973,-0.2333147639091474,0.7769731984903243,0.432932490861509,0.392996600654743,5.1026729862515,-0.049354449106356,37.620137189271,37.80634359066,-122.3799999458,-8865932.588073509,-13982341.48694256,12759329.62799808,-8866421.994684398,-13982031.15165732,12759329.62799808,0.0020054755834754,2998.205901634,3.2583177796155e-09,0.00802535206,19.6963074,19.6963074,0.895987352,1.19705338,41998257.4,68.5911587,1.19705338,1.18902803,0,1,0.523,0,-0.031427482,-0.174,0.348,0,-0.298283726,-0.745709315,-0.73220009,0,0,0,-1,6.67631421,0,0.287952673,-0.287952673,0,-0.287952673,-0.00502477415,-0.00015178115,-0.0315792631,0,0,0,-100,-18.4667414,-1.77293853,3.61977007,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,84025.9,152.774,1.29952,22.4521,319.029,-0.102899,22.9182,402.182,2511.84,129.995,129.995,37.62013782831513,-122.380001132470795,20902419.4335085228,7.36963452106487882
0.72,9.70446325302427,1.385641301914698,1.72859410730302,6.788451709495939,-10.05841225433496,1.724484977126248,9.707887837625488,1.385441331094018,1.726209042223306,12.35673709,3089771.669,106.585839799,1212.54531789,106.0826774054737,0.0003185078007827968,10.34440912292666,4.147948086980874,0.7270565467796923,-0.0635370793394614,2.316466604636094,-0.8052253667693705,5.001579480463473,6.003033840117136,0.0002911540022171704,-34.65740612215941,106.0826774054737,0.0003185078007827968,10.34440912292666,1057.150601564734,-588.3283693241492,81.0461806372119,37.53493840645094,58.16516353163713,81.04618063721189,106.466572072369,0.5495071566672934,5.010820168550207,  2095.69844, -10.7816261, 13.55499677, -10.7816261, 1505.009366, 3.980182811, 13.55499677, 3.980182811, 3150.404405,77.08036625,2479.987481,45.48950345588385,4.227440695231888,35.42689511125321,2996.9566443451,2996.9408152233,3.867171129425389,2.862224424674594,0.6709987928683189,0.9991066681183816,0.03358376728051093,0.02515788467668919,0.005007707582200867,-0.2510407881988441,0.7715417432647884,0.436061589690765,0.3892969959514165,-0.2510510077868099,0.771530295678404,0.4360818437565365,0.3892904055914058,5.5694583232125,0.00017121554571641,37.620206869594,37.806413400122,-122.37999968102,-8865678.935138103,-13982482.68258055,12759348.94026041,-8866413.048394538,-13982017.18654628,12759348.94026041,0.0030082133752131,2996.9408152233,3.2583177409038e-09,0.0147111382,19.6960213,19.6960213,0.896029165,1.19705285,41998248,68.5911286,1.19705285,1.18234172,0,1,0.523,0,-0.0674948689,-0.174,0.348,0,-0.340835414,-0.852088535,-0.843610235,0,0,0,-1,10.2451668,0,0.67104822,-0.67104822,0,-0.67104822,-0.0117097914,-0.000545590424,-0.0680404594,0,0,0,-100,-26.2256995,-2.51798641,2.49283376,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,71194.9,129.445,1.29952,20.3298,276.436,0.210212,25.0556,382.441,2453.56,129.994,129.994,37.6202075038567187,-122.380000828360124,20902418.1007947065,9.70788783762549023
0.96,10.7363272655537,-0.2587085307205388,2.06454402261994,1.681378263798178,-3.364181427763712,1.105312289623277,10.7397546843573,-0.2590379559787394,2.062177467571253,12.57345718,3116782.395,107.514644234,1213.36598059,107.0475075724226,0.2773356371938815,10.00764369214195,3.863216297587092,1.557411135565153,-2.190790536206634,3.816965452361279,-1.009307910287017,3.782490635296536,5.456665923028335,-0.02557780802325243,-33.55679352594902,107.0475075724226,0.2773356371938815,10.00764369214195,1057.870992959324,-588.5758707002241,82.12435404526566,38.24603063070585,57.89844849765293,82.12435404526569,107.4137900969467,1.292870489352,4.472684618799201, 2095.688807,-10.78161854, 13.55503968,-10.78161854, 1505.008705, 3.980255062, 13.55503968, 3.980255062, 3150.395178,77.08026336,2479.98417,45.48950010473018,4.227446338260334,35.42686311058836,2995.8250336722,2995.8092104994,6.358276626556279,2.940265653522709,1.133726810701071,0.998097590616121,0.0551835610433891,0.02616359661101959,0.008452242852672792,-0.2695862805502043,0.7672722029019065,0.4410267555651349,0.3796208699068758,-0.2695995679324506,0.7672567655463632,0.4410536114732387,0.3796114335743623,5.3409367071089,0.14779548641902,37.620277219077,37.806483878684,-122.3799989388,-8865425.139932122,-13982623.91038702,12759368.52685938,-8866403.962063299,-13982003.2582093,12759368.52685938,0.0040109511669508,2995.8092104994,0,0.0227872657,19.6957705,19.6957705,0.896066568,1.19705233,41998238.5,68.5910985,1.19705233,1.17426506,0,1,0.523,0,-0.110972862,-0.174,0.348,0,-0.360674427,-0.901686067,-0.898887,0,0,0,-1,13.2385633,0,1.13381032,-1.13381032,0,-1.13381032,-0.0197849901,-0.00128517023,-0.112258032,0,0,0,-100,-33.246291,-3.19219915,1.28048547,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,61040.6,110.983,1.29952,18.7052,244.465,0.902917,23.1306,356.831,2377.84,129.992,129.992,37.6202778570202057,-122.380000036653897,20902416.900326144,10.7397546843573028
1.2,10.77686893054621,-0.5899548259095213,2.309751997769789,-1.127800978918834,0.4586949097502082,1.014812149470833,10.78028788138901,-0.5904224418418552,2.30739649062082,12.76946252,3141013.085,108.347718446,1214.49283092,107.9248836675578,0.7573683662032025,9.532784007289621,3.467021368505728,2.391823281386032,-1.765098487014761,5.410904652922959,-0.9006381938311634,2.466129870253212,4.882834442903085,-0.07088533841741758,-32.22137279842079,107.9248836675578,0.7573683662032025,9.532784007289621,1058.987559933664,-588.7894036891065,82.85663744199989,39.35328794731588,57.66562626008905,82.85663744199996,108.2353231249514,2.352651397654664,4.336813561375191, 2095.680266,-10.78161182, 13.55507773,-10.78161182, 1505.008118, 3.980319141, 13.55507773, 3.980319141, 3150.386996,77.08017213,2479.981235,45.48949713332655,4.227451341825323,35.42683473621319,2994.7755039223,2994.7596862742,8.97840265737412,2.754419468062152,1.636647759634901,0.9965693358554146,0.07789840480079847,0.02507589382589649,0.01235301222461425,-0.2881690171430998,0.7633620963288226,0.4462817653727669,0.367518044921623,-0.2881850967703629,0.7633425695704447,0.4463151640907566,0.3675054364001827,5.0477189522507,0.40051018092136,37.620348149498,37.806554938433,-122.37999744619,-8865171.124602791,-13982765.19486526,12759388.33098879,-8866394.6578419,-13981989.39116387,12759388.33098879,0.0050136889586885,2994.7596862742,-3.2583176624159e-09,0.0315648921,19.6955481,19.6955481,0.896101258,1.19705181,41998228.6,68.5910687,1.19705181,1.16548692,0,1,0.523,0,-0.156702688,-0.174,0.348,0,-0.362435467,-0.906088666,-0.906833679,0,0,0,-1,15.5979117,0,1.63676832,-1.63676832,0,-1.63676832,-0.0285616071,-0.00240050452,-0.159103192,0,0,0,-100,-39.5987813,-3.80231054,0.534503024,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,53314.1,96.9347,1.29952,17.478,220.722,1.94305,20.6266,331.262,2300.26,129.991,129.991,37.6203487949083595,-122.379998489348296,20902415.7803455181,10.7802878813890111
1.44,10.3635361791644,-0.2784486946853375,2.579497354460488,-2.237168520600608,1.907835527600189,1.301391485724771,10.36694495650866,-0.2790553742232793,2.57715887623523,12.95048586,3163230.139,109.11128323,1215.91891787,108.7138710217225,1.42345509114247,9.194571830592743,3.110631719142739,3.074226536340727,-0.9791492301524158,6.70207924530014,-1.228480459138744,1.641758971377168,4.424857640348685,-0.1339801349531906,-31.6514442455214,108.7138710217225,1.42345509114247,9.194571830592743,1060.445557351058,-589.0397685841906,83.34378051483495,40.80195979918037,57.3958748876017,83.34378051483486,108.9561362465214,3.720539976381958,4.471027240548626, 2095.672572,-10.78160578, 13.55511202,-10.78160578,  1505.00759, 3.980376886, 13.55511202, 3.980376886, 3150.379626,77.08008994,2479.978591,45.48949445648412,4.227455849376898,35.42680917464664,2993.7225608826,2993.7067487762,11.55035007292033,2.537570494877706,2.190330351523367,0.9945413525932545,0.1001611139547942,0.0239490445522614,0.0167836973980094,-0.3064773540312785,0.7593990354502567,0.4507375263390948,0.3552751310926781,-0.3064960067000644,0.7593753692284784,0.4507773966185287,0.3552590395526163,4.8343363535799,0.74749632007844,37.620419586408,37.806626505557,-122.37999494512,-8864916.798823759,-13982906.53279914,12759408.27900185,-8866385.045406785,-13981975.58221482,12759408.27900185,0.0060164267504262,2993.7067487762,0,0.0412284763,19.6953478,19.6953478,0.896136063,1.1970513,41998218.4,68.5910394,1.1970513,1.15582282,0,1,0.523,0,-0.201591639,-0.174,0.348,0,-0.355639401,-0.889098502,-0.891266529,0,0,0,-1,17.5677355,0,2.19049169,-2.19049169,0,-2.19049169,-0.0382240801,-0.00390930657,-0.205500945,0,0,0,-100,-45.3467488,-4.35442653,0.116600707,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,47557.8,86.4687,1.29952,16.5629,203.295,3.23747,18.5147,308.24,2228.21,129.989,129.989,37.6204202400705086,-122.379995931450296,20902414.6553386338,10.3669449565086627
1.68,9.780538548303328,0.1916625861156949,2.941782627998767,-2.557003341641647,1.867231879663161,1.774923491020882,9.783938952715895,0.1909184672878542,2.939471818518186,13.11949308,3183836.977,109.819128429,1217.63564463,109.4244833209694,2.225537056847225,9.031633496134525,2.819144689500129,3.493784061543613,-0.3700349495894102,7.80002604967075,-1.797245900955609,1.074712336433379,4.068278215570323,-0.2100897374741234,-31.51350556893608,109.4244833209694,2.225537056847225,9.031633496134525,1062.189128974706,-589.3987495732938,83.66559245467258,42.536177869138,57.01739366504488,83.66559245467258,109.5837754963765,5.387806529616904,4.754856214458946, 2095.665521,-10.78160023, 13.55514346,-10.78160023, 1505.007106, 3.980429814, 13.55514346, 3.980429814, 3150.372872,77.08001463,2479.976168,45.48949200361019,4.227459979786517,35.42678575178865,2992.6174970269,2992.601690735,14.00233701594606,2.377295846925801,2.828268841522998,0.99209025261892,0.1213181130843731,0.02359082511246385,0.02196176374264906,-0.3244466440561972,0.7553646176428479,0.4538329241884016,0.3437940466275557,-0.3244677021276026,0.755336817250051,0.4538791922645104,0.3437741724037919,4.7183606013021,1.161205812218,37.620491466197,37.806698516772,-122.37999118306,-8864662.087921485,-13983047.94267402,12759428.3228304,-8866375.050089648,-13981961.84987287,12759428.3228304,0.0070191645421639,2992.601690735,0,0.0523626034,19.6951642,19.6951642,0.896172591,1.1970508,41998207.8,68.5910109,1.1970508,1.1446882,0,1,0.523,0,-0.244386884,-0.174,0.348,0,-0.345592425,-0.863981063,-0.866627965,0,0,0,-1,19.3050217,0,2.82847718,-2.82847718,0,-2.82847718,-0.0493569267,-0.0058494061,-0.25023629,0,0,0,-100,-50.5477219,-4.85407398,-0.099217767,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,43324,78.7708,1.29952,15.8895,190.671,4.65957,16.9775,288.593,2164.86,129.988,129.988,37.620492127867692,-122.379992111643389,20902413.4766779132,9.78393895271589464
1.92,9.168785934939645,0.5942353102324356,3.425120316888392,-2.495143353454508,1.452579800325213,2.294911804967496,9.172179277661886,0.5933550974434038,3.422847267379486,13.2789725,3203165.564,110.482636139,1219.63486488,110.0745741009178,3.092848058706032,8.968573776607862,2.608280313374457,3.593633399336913,-0.1434648513084262,8.775718401854775,-2.4859368043656,0.6326406395860289,3.788353305497363,-0.2921838859366176,-31.6106624872705,110.0745741009178,3.092848058706032,8.968573776607862,1064.180042483764,-589.911834321514,83.869353966421,44.51769541663847,56.48468065100241,83.86935396642103,110.1194854778242,7.346519206454105,5.112774378712655, 2095.658954,-10.78159507, 13.55517274,-10.78159507, 1505.006655, 3.980479128, 13.55517274, 3.980479128, 3150.366581,77.07994449,2479.973911,45.48948971889084,4.227463827039586,35.42676393466382,2991.4344300553,2991.4186299933,16.31266178312587,2.267991918959002,3.583545427511992,0.9892946704092788,0.1411648334177488,0.02401605813342566,0.02813847646315979,-0.3420358438884953,0.7514671132880545,0.4553222829066267,0.333152034108605,-0.3420591651266593,0.7514352369272492,0.4553748877231515,0.3331280893111072,4.6580133577168,1.6041461346307,37.620563728007,37.80677091135,-122.37998591454,-8864406.928297821,-13983189.45662456,12759448.42913365,-8866364.608300777,-13981948.22630173,12759448.42913365,0.0080219023339016,2991.4186299933,0,0.0655446666,19.6949932,19.6949932,0.896211699,1.19705032,41998196.8,68.5909833,1.19705032,1.13150565,0,1,0.523,0,-0.284709658,-0.174,0.348,0,-0.334901221,-0.837253053,-0.839900513,0,0,0,-1,20.8963952,0,3.5838094,-3.5838094,0,-3.5838094,-0.062537474,-0.00828607587,-0.292995734,0,0,0,-100,-55.2537543,-5.30625353,-0.193479154,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,40238.5,73.1609,1.29952,15.4009,181.658,6.08166,15.8616,272.359,2111.12,129.987,129.987,37.620564397664964,-122.379986784786155,20902412.2184959464,9.17217927766188623
2.16,8.594047200811195,0.906006224897054,4.028919580541452,-2.251451943772961,1.155575594841848,2.761152747102408,8.597432849889451,0.9049896637751735,4.026692410305731,13.43120336,3221512.688,111.112005517,1221.90388396,110.6821360091773,3.94781982536924,8.9306918601173,2.465034993730272,3.376957512310524,-0.1394642387071272,9.679790481179277,-3.169142223358172,0.1892714292906028,3.547158617926115,-0.3722194682908492,-31.75548167941078,110.6821360091773,3.94781982536924,8.9306918601173,1066.395836287722,-590.5914641317806,83.96871127915027,46.72403794492615,55.78528098224262,83.96871127915028,110.5602222302178,9.584368276943318,5.51859720986573, 2095.652747,-10.78159019, 13.55520043,-10.78159019, 1505.006228, 3.980525746, 13.55520043, 3.980525746, 3150.360636,77.07987819,2479.971778,45.48948755956918,4.22746746313472,35.42674331498011,2990.1596015021,2990.1438081392,18.48364931550458,2.172625598951468,4.483236733471094,0.9862058252945305,0.1597180782547088,0.02497877324575075,0.03555652571461756,-0.3592561236851509,0.7479431011379445,0.4550954187159829,0.3231165655279819,-0.3592815695650786,0.7479072578506925,0.4551543214453522,0.3230882713667158,4.6130733570974,2.0361528972151,37.620636310482,37.806843627952,-122.3799789022,-8864151.263528453,-13983331.11373496,12759468.57182671,-8866353.663627641,-13981934.75061796,12759468.57182671,0.0090246401256393,2990.1438081392,0,0.0812472421,19.6948316,19.6948316,0.896253842,1.19704986,41998185.2,68.590957,1.19704986,1.11580262,0,1,0.523,0,-0.322600538,-0.174,0.348,0,-0.324789115,-0.811972787,-0.814399391,0,0,0,-1,22.3918333,0,4.48356697,-4.48356697,0,-4.48356697,-0.0782382437,-0.0113069831,-0.333907521,0,0,0,-100,-59.511946,-5.7154893,-0.196892092,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,37992,69.0763,1.29952,15.052,175.36,7.3712,14.944,258.352,2065.3,129.986,129.986,37.6206369887148853,-122.379979713351304,20902410.8670533337,8.59743284988945078
