Sweep Target,Sweep Value,Year,Cumulative Cash
R&D Multiplier,0.5,0,-9875000.0
R&D Multiplier,0.5,1,-3850883.685800601
R&D Multiplier,0.5,2,2173232.6283987984
R&D Multiplier,0.5,3,8197348.942598198
R&D Multiplier,0.5,4,18192348.942598198
R&D Multiplier,0.5,5,28187348.942598198
R&D Multiplier,0.5,6,38182348.942598194
R&D Multiplier,0.5,7,48177348.942598194
R&D Multiplier,0.5,8,58172348.942598194
R&D Multiplier,0.5,9,68167348.9425982
R&D Multiplier,0.5,10,78162348.9425982
R&D Multiplier,0.6,0,-10225000.0
R&D Multiplier,0.6,1,-4341623.867069483
R&D Multiplier,0.6,2,1541752.2658610344
R&D Multiplier,0.6,3,7425128.398791552
R&D Multiplier,0.6,4,17420128.39879155
R&D Multiplier,0.6,5,27415128.39879155
R&D Multiplier,0.6,6,37410128.39879155
R&D Multiplier,0.6,7,47405128.39879155
R&D Multiplier,0.6,8,57400128.39879155
R&D Multiplier,0.6,9,67395128.39879155
R&D Multiplier,0.6,10,77390128.39879155
R&D Multiplier,0.7,0,-10575000.0
R&D Multiplier,0.7,1,-4832364.048338365
R&D Multiplier,0.7,2,910271.9033232704
R&D Multiplier,0.7,3,6652907.854984906
R&D Multiplier,0.7,4,16647907.854984906
R&D Multiplier,0.7,5,26642907.854984906
R&D Multiplier,0.7,6,36637907.85498491
R&D Multiplier,0.7,7,46632907.85498491
R&D Multiplier,0.7,8,56627907.85498491
R&D Multiplier,0.7,9,66622907.85498491
R&D Multiplier,0.7,10,76617907.85498491
R&D Multiplier,0.8,0,-10925000.0
R&D Multiplier,0.8,1,-5323104.229607247
R&D Multiplier,0.8,2,278791.54078550637
R&D Multiplier,0.8,3,5880687.31117826
R&D Multiplier,0.8,4,15875687.31117826
R&D Multiplier,0.8,5,25870687.31117826
R&D Multiplier,0.8,6,35865687.31117826
R&D Multiplier,0.8,7,45860687.31117826
R&D Multiplier,0.8,8,55855687.31117826
R&D Multiplier,0.8,9,65850687.31117826
R&D Multiplier,0.8,10,75845687.31117827
R&D Multiplier,0.9,0,-11275000.0
R&D Multiplier,0.9,1,-5813844.410876129
R&D Multiplier,0.9,2,-352688.82175225765
R&D Multiplier,0.9,3,5108466.7673716135
R&D Multiplier,0.9,4,15103466.767371614
R&D Multiplier,0.9,5,25098466.767371614
R&D Multiplier,0.9,6,35093466.76737161
R&D Multiplier,0.9,7,45088466.76737161
R&D Multiplier,0.9,8,55083466.76737161
R&D Multiplier,0.9,9,65078466.76737161
R&D Multiplier,0.9,10,75073466.76737161
R&D Multiplier,1.0,0,-11625000.0
R&D Multiplier,1.0,1,-6304584.592145012
R&D Multiplier,1.0,2,-984169.1842900235
R&D Multiplier,1.0,3,4336246.223564965
R&D Multiplier,1.0,4,14331246.223564964
R&D Multiplier,1.0,5,24326246.223564964
R&D Multiplier,1.0,6,34321246.22356497
R&D Multiplier,1.0,7,44316246.22356497
R&D Multiplier,1.0,8,54311246.22356497
R&D Multiplier,1.0,9,64306246.22356497
R&D Multiplier,1.0,10,74301246.22356497
R&D Multiplier,1.1,0,-11975000.0
R&D Multiplier,1.1,1,-6795324.773413894
R&D Multiplier,1.1,2,-1615649.5468277875
R&D Multiplier,1.1,3,3564025.6797583187
R&D Multiplier,1.1,4,13559025.679758318
R&D Multiplier,1.1,5,23554025.679758318
R&D Multiplier,1.1,6,33549025.679758318
R&D Multiplier,1.1,7,43544025.67975832
R&D Multiplier,1.1,8,53539025.67975832
R&D Multiplier,1.1,9,63534025.67975832
R&D Multiplier,1.1,10,73529025.67975831
R&D Multiplier,1.2,0,-12325000.0
R&D Multiplier,1.2,1,-7286064.954682776
R&D Multiplier,1.2,2,-2247129.9093655515
R&D Multiplier,1.2,3,2791805.1359516727
R&D Multiplier,1.2,4,12786805.135951672
R&D Multiplier,1.2,5,22781805.13595167
R&D Multiplier,1.2,6,32776805.13595167
R&D Multiplier,1.2,7,42771805.13595167
R&D Multiplier,1.2,8,52766805.13595167
R&D Multiplier,1.2,9,62761805.13595167
R&D Multiplier,1.2,10,72756805.13595167
R&D Multiplier,1.3,0,-12675000.0
R&D Multiplier,1.3,1,-7776805.135951658
R&D Multiplier,1.3,2,-2878610.2719033156
R&D Multiplier,1.3,3,2019584.5921450267
R&D Multiplier,1.3,4,12014584.592145026
R&D Multiplier,1.3,5,22009584.592145026
R&D Multiplier,1.3,6,32004584.592145026
R&D Multiplier,1.3,7,41999584.592145026
R&D Multiplier,1.3,8,51994584.592145026
R&D Multiplier,1.3,9,61989584.592145026
R&D Multiplier,1.3,10,71984584.59214503
R&D Multiplier,1.4,0,-13025000.0
R&D Multiplier,1.4,1,-8267545.31722054
R&D Multiplier,1.4,2,-3510090.6344410796
R&D Multiplier,1.4,3,1247364.0483383806
R&D Multiplier,1.4,4,11242364.04833838
R&D Multiplier,1.4,5,21237364.04833838
R&D Multiplier,1.4,6,31232364.04833838
R&D Multiplier,1.4,7,41227364.04833838
R&D Multiplier,1.4,8,51222364.04833838
R&D Multiplier,1.4,9,61217364.04833838
R&D Multiplier,1.4,10,71212364.04833838
R&D Multiplier,1.5,0,-13375000.0
R&D Multiplier,1.5,1,-8758285.49848942
R&D Multiplier,1.5,2,-4141570.9969788427
R&D Multiplier,1.5,3,475143.50453173555
R&D Multiplier,1.5,4,10470143.504531736
R&D Multiplier,1.5,5,20465143.504531734
R&D Multiplier,1.5,6,30460143.504531734
R&D Multiplier,1.5,7,40455143.50453173
R&D Multiplier,1.5,8,50450143.50453173
R&D Multiplier,1.5,9,60445143.50453173
R&D Multiplier,1.5,10,70440143.50453174
R&D Multiplier,1.6,0,-13725000.0
R&D Multiplier,1.6,1,-9249025.679758303
R&D Multiplier,1.6,2,-4773051.359516607
R&D Multiplier,1.6,3,-297077.03927491046
