x_idle,y_idle,x_cruise,y_cruise,x_max,y_max
104.2205052,60.13685239,103.358739,66.27812204,102.0677504,76.41679889
109.1277455,61.50537634,114.8836565,65.7510913,109.9272056,76.21836303
118.0700989,62.09188661,128.5401308,65.75628072,116.0211185,76.02035949
127.7452236,62.67839687,135.5171505,66.29063769,123.2829261,75.62536117
134.6335829,63.26490714,139.1464154,68.10036936,132.7751182,75.52535065
139.1406784,65.21994135,142.8728752,70.44201593,138.2374593,77.59141812
145.7126963,68.73900293,153.6433012,71.50920358,143.935982,78.47638152
157.6650954,70.49853372,159.8564899,73.10677982,155.0019008,79.95117642
168.3656285,71.47605083,168.5333278,73.85390274,162.4801351,81.13127173
189.4690476,71.57380254,178.8589844,74.92047987,177.362545,81.32624901
209.0825914,73.13782991,197.4933003,76.83995238,189.7286875,81.7185093
224.7422657,74.11534702,204.1265848,78.54360634,202.9462523,82.89817229
239.9644648,73.13782991,215.2063557,80.24817607,212.7263195,84.86567031
266.5224301,73.23558162,226.8875246,81.5272139,226.0289433,85.2580747
282.7482038,74.11534702,242.384599,81.95579841,248.3914623,86.0434599
303.8375271,70.69403715,265.8748072,82.38560396,269.2994442,87.41968536
322.3412293,71.86705767,282.1643565,81.8564364,286.1739936,86.04043365
344.1121905,68.15249267,293.5748143,79.94337434,306.1145424,87.02324596
367.4053936,66.5884653,299.4519298,78.24216246,320.9174435,86.62853585
387.1622375,65.02443793,319.905363,78.98989591,338.7280193,85.54470427
408.018114,64.82893451,328.4727017,76.86345737,364.8205523,84.95256706
418.8287312,63.46041056,341.7558249,75.37592723,392.9099796,84.85255654
441.3762843,62.77614858,362.6944329,73.88931286,437.6539368,85.34237751
499.9879561,63.46041056,377.3614502,71.9762508,461.8788897,86.32547804
530.4644298,65.41544477,411.206772,71.02277237,490.7327048,87.60371048
566.4663881,66.39296188,433.5266321,70.59968253,546.5839098,88.9793595
600.9718926,67.76148583,472.4093753,70.92279984,596.6682024,88.68221009
641.7591044,68.73900293,508.0218047,71.77722153,625.5339746,87.99222397
694.3250877,68.83675464,553.5859751,72.73863671,678.2548805,87.89206934
731.755542,69.22776149,587.5029384,72.63500107,735.3703768,88.7761681
786.5164975,69.3255132,653.0118922,72.7462682,813.598023,89.46298386
867.807471,68.64125122,716.2972055,72.85692481,882.1341125,89.95338126
890.800407,67.27272727,765.222377,73.49827528,956.5133868,89.36109994
938.6962555,65.61094819,806.7578224,74.7773131,1051.203309,89.35908244
963.5488839,63.94916911,884.9431084,76.59009738,1186.809524,89.8486152
1002.102327,61.9941349,957.962783,74.35971794,1304.366831,89.05919499
1042.251835,60.82111437,1016.655001,72.2348057,1433.492461,89.05717748
1105.661148,61.1143695,1078.943158,71.28010623,1554.443375,87.67749345
1150.17364,62.77614858,1199.249684,71.7105223,1674.150256,87.38063226
1236.135951,61.50537634,1315.472517,70.33181721,1852.3423,87.28004531
1260.639661,60.72336266,1462.153023,70.23031839,2035.836284,86.39219976
1354.910171,60.03910068,1582.800256,68.63823682,2207.507401,85.7014931
1446.856954,60.91886608,1770.951223,68.11151134,2720.86572,84.71277238
1585.908827,59.74584555,1968.419447,67.5844806,3051.500888,83.82449451
1715.809371,59.84359726,2048.020454,67.05439726,3177.58724,83.33150317
1832.12997,59.74584555,2261.392236,65.88876339,3492.360672,82.44365762
1956.248527,58.96383187,2447.987423,64.61583076,3711.022787,81.75338328
2116.524022,59.35483871,2720.947922,63.87603407,3996.806735,81.45652208
2230.409418,58.27956989,2926.065709,63.77300894,4636.278288,80.27224766
2412.914816,57.20430108,3209.639389,62.81983577,5027.330773,79.28626498
2679.756921,56.12903226,3428.867045,63.6739522,5676.350865,78.49626834
2995.869418,55.93352884,4125.674668,63.04420159,5951.160336,77.31415552
3055.158063,54.6627566,4898.920936,63.15852132,6409.626264,76.62359297
