Component Name,Mass (kg),Size X (m),Size Y (m),Size Z (m),Assembly CG X (m),Assembly CG Y (m),Assembly CG Z (m)
Main Body <1>,0.29139,0.43243,0.09095,0.15773,0.22977,-0.0,0.00787
Horizontal_TailPlane <2>,0.43819,0.19553,0.54772,0.01637,3.21211,0.00019,0.23979
Vertical_Tail <3>,0.4064,0.42514,0.02757,0.23979,3.08181,1e-05,0.1136
Lidar <2>,0.16,0.039,0.06,0.055,1.07146,-0.1195,-0.01443
PDU <1>,2.2,0.155,0.2,0.105,0.69037,0.0,-0.05443
FBG <1>,0.7,0.15,0.125,0.058,0.79687,0.0,-0.03193
FuelBag <2>,0.68,0.22,0.18,0.18,1.22724,0.0,-0.01443
Access bay <1>,0.03602,0.10413,0.05078,0.07768,0.39136,-0.0,0.02998
LR gear door <1>,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
RM1000 <1>,0.12,0.1,0.15,0.04,1.92679,-0.0,-0.02122
Fuel <1>,5.5,0.21,0.17,0.17,0.92146,0.0,-0.01443
FlightCompanion <1>,0.16,0.0745,0.068,0.045,0.26498,0.03,-0.00643
ECU <1>,0.027,0.053,0.035,0.019,1.71192,0.0,-0.07443
FL gear door <1>,0.01752,0.12423,0.03039,0.06865,0.0874,0.01207,-0.03084
Antenna <2>,0.0625,0.18,0.001,0.001,3.10784,-0.01322,0.05866
Fuel <2>,5.5,0.21,0.17,0.17,1.22724,0.0,-0.01443
FuelBag <1>,0.68,0.22,0.18,0.18,0.92146,0.0,-0.01443
Camera <1>,0.7,0.025,0.02,0.025,2.12172,0.0,0.23557
Canard Port Foam <1>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Autopilot <1>,0.18,0.0745,0.068,0.045,0.26498,0.03,-0.05143
FR gear door <1>,0.01752,0.12423,0.03039,0.06865,0.08739,-0.01207,-0.03083
Engine Pylon Left <1>,0.0,0.0,0.0,0.0,2e-05,0.00018,-0.00038
FuelPump <1>,0.11,0.077,0.0315,0.0315,1.70756,-0.0,-0.04882
Antenna <1>,0.0625,0.18,0.001,0.001,3.10784,0.01322,0.05866
SSD <1>,0.05,0.0699,0.1,0.007,0.26498,-0.0075,-0.02393
Canard <1>,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Lidar <1>,0.16,0.039,0.06,0.055,1.07146,0.1145,-0.01443
Wing Port Foam <1>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR gear door <1>,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Canard_Port_Cover <1>,0.00233,0.10811,0.00826,0.00593,0.22096,-0.0,-0.06759
Wing_Port_Cover <1>,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
FuelFilter <2>,0.015,0.045,0.02,0.02,1.70919,0.02575,-0.04882
Engine Pylon Right <1>,0.0,0.0,0.0,0.0,0.00541,1e-05,2e-05
FuelFilter <1>,0.015,0.045,0.02,0.02,1.70919,-0.02575,-0.04882
Tire <2>,0.043,0.028,0.05,0.05,0.51625,0.01826,-0.11219
Metal Strut <1>,0.12902,0.018,0.018,0.0835,0.46881,0.0,-0.10636
Tire <1>,0.043,0.028,0.05,0.05,0.51625,-0.01826,-0.11219
Front_Strut <1>,0.21482,0.039,0.13,0.08,0.42764,-0.0,-0.09981
Module <1>,0.745,0.04278,0.10696,0.07075,0.6986,0.05352,0.03557
Battery Pack Case <1>,0.09582,0.0876,0.216,0.07275,0.72001,0.0,0.03557
Aileron Left <1>,0.0,0.0,0.0,0.0,-0.00561,-0.00157,0.18439
FoamCore <1>,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Aileron Right <1>,0.0,0.0,0.0,0.0,0.09994,-0.02467,-0.33579
Main Wing <1>,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Engine_Nacelle <1>,0.9,0.09701,0.1722,0.09701,1.71402,0.07319,0.15303
Engine_Starter <1>,0.16,0.029,0.09531,0.07868,1.61166,0.07318,0.153
Tire <2>,0.043,0.0199,0.05,0.05,1.4,0.06191,-0.06514
Tire <1>,0.043,0.0199,0.05,0.05,1.4,0.04573,-0.09557
Rear_Strut <1>,0.07138,0.04031,0.0525,0.09759,1.4,0.12581,-0.07699
Metal Strut <1>,0.02794,0.021,0.0105,0.0385,1.4,0.06724,-0.08749
