Component Name,Mass (kg),Size X (m),Size Y (m),Size Z (m),Assembly CG X (m),Assembly CG Y (m),Assembly CG Z (m)
Main Body <1>,4.42748,2.1,0.32803,0.31564,1.0568,0.00031,-0.01278
Horizontal_TailPlane <2>,0.43819,0.19553,0.54772,0.01637,2.21211,0.00019,0.23979
Vertical_Tail <3>,0.4064,0.42514,0.02757,0.23979,2.08181,1e-05,0.1136
Lidar <2>,0.16,0.039,0.06,0.055,1.07146,-0.1195,-0.01443
PDU <1>,2.2,0.155,0.2,0.105,0.69037,0.0,-0.05443
FBG <1>,0.7,0.15,0.125,0.058,0.79687,0.0,-0.03193
FuelBag <2>,0.68,0.22,0.18,0.18,1.22724,0.0,-0.01443
Access bay <1>,0.39127,0.4,0.25861,0.12288,0.55181,-0.0058,0.11245
LR gear door <1>,0.04756,0.1,0.12632,0.06182,1.39973,-0.1033,-0.10494
RM1000 <1>,0.12,0.1,0.15,0.04,1.92679,-0.0,-0.02122
Fuel <1>,5.5,0.21,0.17,0.17,0.92146,0.0,-0.01443
FlightCompanion <1>,0.16,0.0745,0.068,0.045,0.26498,0.03,-0.00643
ECU <1>,0.027,0.053,0.035,0.019,1.71192,0.0,-0.07443
FL gear door <1>,0.02074,0.2,0.04079,0.01483,0.48279,-0.01705,-0.15129
Antenna <2>,0.0625,0.18,0.001,0.001,2.10784,-0.01322,0.05866
Fuel <2>,5.5,0.21,0.17,0.17,1.22724,0.0,-0.01443
FuelBag <1>,0.68,0.22,0.18,0.18,0.92146,0.0,-0.01443
Camera <1>,0.7,0.025,0.02,0.025,2.12172,0.0,0.23557
C. Port Foam <1>,0.04734,0.145,0.16491,0.05967,0.26299,-0.0,-0.10006
Autopilot <1>,0.18,0.0745,0.068,0.045,0.26498,0.03,-0.05143
FR gear door <1>,0.02074,0.2,0.04079,0.01483,0.48279,0.01705,-0.15129
Engine Pylon Left <1>,0.02586,0.08386,0.02158,0.0331,1.69744,-0.04617,0.09519
FuelPump <1>,0.11,0.077,0.0315,0.0315,1.70756,-0.0,-0.04882
Antenna <1>,0.0625,0.18,0.001,0.001,2.10784,0.01322,0.05866
SSD <1>,0.05,0.0699,0.1,0.007,0.26498,-0.0075,-0.02393
Canard <1>,0.70406,0.15,0.6,0.065,0.2562,3e-05,-0.09997
Lidar <1>,0.16,0.039,0.06,0.055,1.07146,0.1145,-0.01443
RR gear door <1>,0.04757,0.1,0.12632,0.06182,1.39973,0.10331,-0.10493
C. Port_Cover <1>,0.21616,0.15,0.17428,0.065,0.26154,-0.0,-0.09792
FuelFilter <2>,0.015,0.045,0.02,0.02,1.70919,0.02575,-0.04882
Engine Pylon Right <1>,0.02586,0.08386,0.02158,0.0331,1.70282,0.04638,0.09559
FuelFilter <1>,0.015,0.045,0.02,0.02,1.70919,-0.02575,-0.04882
Tire <2>,0.043,0.028,0.05,0.05,0.51625,0.01826,-0.11219
Metal Strut <1>,0.12902,0.018,0.018,0.0835,0.46881,0.0,-0.10636
Tire <1>,0.043,0.028,0.05,0.05,0.51625,-0.01826,-0.11219
Front_Strut <1>,0.21482,0.039,0.13,0.08,0.42764,-0.0,-0.09981
Module <1>,0.745,0.04278,0.10696,0.07075,0.6986,0.05352,0.03557
Battery Pack Case <1>,0.09582,0.0876,0.216,0.07275,0.72001,0.0,0.03557
FoamCore <1>,0.25161,0.48726,2.66325,0.04449,1.0081,-4e-05,0.12365
Main Wing <1>,1.33158,0.49861,2.66607,0.04733,1.0081,-5e-05,0.12097
